HQ,built_threat,quartile
0.46666213870048523,0.9385421276092529,Q4 (highest)
0.5399443507194519,0.8117485642433167,Q3
0.6734794974327087,0.5757097601890564,Q2
0.7255989909172058,0.39989668130874634,Q1 (lowest)
0.7488624453544617,0.3203886151313782,Q1 (lowest)
0.7114276885986328,0.4244937002658844,Q1 (lowest)
0.6819971203804016,0.515274167060852,Q1 (lowest)
0.6023170948028564,0.677913248538971,Q2
0.5414379239082336,0.8071752190589905,Q3
0.6246152520179749,0.6454147696495056,Q2
0.6262933015823364,0.6298313140869141,Q2
0.4879056513309479,0.8919497728347778,Q4 (highest)
0.5608499050140381,0.7719305753707886,Q3
0.6710449457168579,0.5334978103637695,Q1 (lowest)
0.7120460867881775,0.47364628314971924,Q1 (lowest)
0.6240075826644897,0.6353011131286621,Q2
0.5668628811836243,0.7371137142181396,Q3
0.5656976699829102,0.7321720123291016,Q3
0.652899444103241,0.5638057589530945,Q2
0.7312409281730652,0.44515979290008545,Q1 (lowest)
0.6356832981109619,0.6174620985984802,Q2
0.6254416704177856,0.619403600692749,Q2
0.576572597026825,0.7709960341453552,Q3
0.525719940662384,0.8149659633636475,Q3
0.5402202010154724,0.8169835805892944,Q3
0.549820601940155,0.80046546459198,Q3
0.5571470260620117,0.8016003370285034,Q3
0.7328128814697266,0.4493526518344879,Q1 (lowest)
0.6648651957511902,0.5505149960517883,Q2
0.6592345237731934,0.6213639974594116,Q2
0.613744854927063,0.6902568936347961,Q2
0.6391814351081848,0.6206265687942505,Q2
0.6151242852210999,0.6342476010322571,Q2
0.4864853024482727,0.8949404954910278,Q4 (highest)
0.5749073028564453,0.7555475234985352,Q3
0.6814004778862,0.5252326726913452,Q1 (lowest)
0.73615562915802,0.3805648982524872,Q1 (lowest)
0.6671695709228516,0.5285928249359131,Q1 (lowest)
0.5955861806869507,0.7063902020454407,Q2
0.5968952178955078,0.7201893925666809,Q2
0.6971331834793091,0.49826642870903015,Q1 (lowest)
0.7336838245391846,0.3557385802268982,Q1 (lowest)
0.7317351698875427,0.3754841983318329,Q1 (lowest)
0.6904992461204529,0.531532347202301,Q1 (lowest)
0.5921014547348022,0.7156950831413269,Q2
0.5771844983100891,0.7394076585769653,Q3
0.4899507462978363,0.9086459875106812,Q4 (highest)
0.5461007356643677,0.7883185148239136,Q3
0.621340274810791,0.6266875863075256,Q2
0.6156730055809021,0.6648849844932556,Q2
0.6198118329048157,0.6252596378326416,Q2
0.6965075135231018,0.4768994152545929,Q1 (lowest)
0.7354719638824463,0.37681421637535095,Q1 (lowest)
0.717037558555603,0.464189350605011,Q1 (lowest)
0.632978618144989,0.6398423314094543,Q2
0.5306336283683777,0.8346053957939148,Q3
0.4831162095069885,0.9034509062767029,Q4 (highest)
0.5633921027183533,0.7503765225410461,Q3
0.6982522010803223,0.5375403165817261,Q1 (lowest)
0.7178318500518799,0.4109605848789215,Q1 (lowest)
0.4934033453464508,0.8939325213432312,Q4 (highest)
0.5336155295372009,0.8062308430671692,Q3
0.5003137588500977,0.8732956051826477,Q4 (highest)
0.4764682352542877,0.9161525368690491,Q4 (highest)
0.6685928702354431,0.5943630933761597,Q2
0.5693009495735168,0.7282307147979736,Q2
0.5085934996604919,0.8741092085838318,Q4 (highest)
0.5260912179946899,0.8169835805892944,Q3
0.7458176016807556,0.4194217324256897,Q1 (lowest)
0.6848825812339783,0.5857163667678833,Q2
0.578534722328186,0.7450419664382935,Q3
0.6109520792961121,0.6727228760719299,Q2
0.6903233528137207,0.49536463618278503,Q1 (lowest)
0.7271057963371277,0.37834951281547546,Q1 (lowest)
0.6810611486434937,0.5364545583724976,Q1 (lowest)
0.5814020037651062,0.7270797491073608,Q2
0.5743131637573242,0.7418888807296753,Q3
0.6517583727836609,0.5924333333969116,Q2
0.7069123387336731,0.4579380750656128,Q1 (lowest)
0.7375495433807373,0.3483625054359436,Q1 (lowest)
0.7294401526451111,0.38824763894081116,Q1 (lowest)
0.5376818776130676,0.8264527916908264,Q3
0.5164633393287659,0.8639907836914062,Q4 (highest)
0.609686017036438,0.6556862592697144,Q2
0.7006196975708008,0.46271198987960815,Q1 (lowest)
0.7044390439987183,0.4471403956413269,Q1 (lowest)
0.7199985384941101,0.40582937002182007,Q1 (lowest)
0.7099714279174805,0.4811129570007324,Q1 (lowest)
0.7066202163696289,0.48248156905174255,Q1 (lowest)
0.6867830157279968,0.4998461604118347,Q1 (lowest)
0.6450047492980957,0.646996259689331,Q2
0.5194708108901978,0.8297645449638367,Q3
0.5744156837463379,0.7450419664382935,Q3
0.6085830926895142,0.6883934140205383,Q2
0.5988481640815735,0.7362046837806702,Q3
0.6024601459503174,0.6922574043273926,Q2
0.7039782404899597,0.5158611536026001,Q1 (lowest)
0.7341874241828918,0.36517468094825745,Q1 (lowest)
0.5081931352615356,0.868930459022522,Q4 (highest)
0.5183677673339844,0.8286513686180115,Q3
0.5121300220489502,0.8448798656463623,Q3
0.7140554189682007,0.5132810473442078,Q1 (lowest)
0.617558479309082,0.7190894484519958,Q2
0.5250915288925171,0.8221619725227356,Q3
0.44798728823661804,0.9778246283531189,Q4 (highest)
0.5054053664207458,0.868930459022522,Q4 (highest)
0.544667661190033,0.805995762348175,Q3
0.7648813128471375,0.3490907847881317,Q1 (lowest)
0.7359169125556946,0.45094797015190125,Q1 (lowest)
0.6759220361709595,0.5186727643013,Q1 (lowest)
0.6810702085494995,0.4925471246242523,Q1 (lowest)
0.7318291068077087,0.3986392021179199,Q1 (lowest)
0.7377792000770569,0.3930016756057739,Q1 (lowest)
0.6579045653343201,0.5677395462989807,Q2
0.5292163491249084,0.8137197494506836,Q3
0.5277660489082336,0.8306058049201965,Q3
0.5624344348907471,0.7665850520133972,Q3
0.6416746973991394,0.578880250453949,Q2
0.7124976515769958,0.43050163984298706,Q1 (lowest)
0.7408944964408875,0.3506194055080414,Q1 (lowest)
0.6893607974052429,0.4801233112812042,Q1 (lowest)
0.5930671095848083,0.6825742125511169,Q2
0.4723115861415863,0.9385421276092529,Q4 (highest)
0.6055301427841187,0.7190894484519958,Q2
0.6846756935119629,0.5286449193954468,Q1 (lowest)
0.7292395234107971,0.3994857370853424,Q1 (lowest)
0.7414306998252869,0.3717392086982727,Q1 (lowest)
0.6756278872489929,0.5200681090354919,Q1 (lowest)
0.5959240198135376,0.6793437004089355,Q2
0.5964273810386658,0.6830241680145264,Q2
0.6701996922492981,0.5250789523124695,Q1 (lowest)
0.7176328301429749,0.4932478964328766,Q1 (lowest)
0.6823510527610779,0.584755003452301,Q2
0.6715866923332214,0.5561572313308716,Q2
0.5569953322410583,0.7691433429718018,Q3
0.4763199985027313,0.9237772822380066,Q4 (highest)
0.660793125629425,0.5491282343864441,Q2
0.7371217608451843,0.3800455331802368,Q1 (lowest)
0.7815448045730591,0.26273903250694275,Q1 (lowest)
0.7914265990257263,0.1959102600812912,Q1 (lowest)
0.7881631255149841,0.19827501475811005,Q1 (lowest)
0.7734186053276062,0.2489318549633026,Q1 (lowest)
0.6645984053611755,0.6056589484214783,Q2
0.5398006439208984,0.7936190962791443,Q3
0.5725606083869934,0.7555475234985352,Q3
0.6959366202354431,0.5598245859146118,Q2
0.6363210082054138,0.679012656211853,Q2
0.5839353799819946,0.7280863523483276,Q2
0.5362803339958191,0.8218982219696045,Q3
0.4609792232513428,0.9603790640830994,Q4 (highest)
0.5318264365196228,0.8297645449638367,Q3
0.46041399240493774,0.9548220038414001,Q4 (highest)
0.49660778045654297,0.8949404954910278,Q4 (highest)
0.5709596872329712,0.73499995470047,Q3
0.4849611222743988,0.9161525368690491,Q4 (highest)
0.5836189389228821,0.7062625288963318,Q2
0.6114416122436523,0.696082592010498,Q2
0.6779135465621948,0.5996005535125732,Q2
0.7289506793022156,0.4717428386211395,Q1 (lowest)
0.704595685005188,0.46648353338241577,Q1 (lowest)
0.6905055046081543,0.4755677580833435,Q1 (lowest)
