ring,hole,order,x,y
6,0,211,595021.3532,2396319.4271
6,0,212,597583.9361,2394128.7294
6,0,213,599263.8198,2395324.4715
6,0,214,600701.2884,2394282.2374
6,0,215,602326.5181,2395184.2868
6,0,216,605210.3858,2393888.8117
6,0,217,603976.4279,2391123.0687
6,0,218,602666.3882,2391289.5599
6,0,219,599221.0383,2389426.1803
6,0,220,597185.8768,2390264.9097
6,0,221,594574.9616,2389264.7287
6,0,222,589368.7974,2385223.9258
6,0,223,587746.2886,2385699.9646
6,0,224,585351.8759,2384579.7589
6,0,225,585465.6686,2388019.1149
6,0,226,587636.6947,2389802.5237
6,0,227,588168.4803,2391760.1573
6,0,228,586908.989,2394688.9958
6,0,229,592290.9206,2393833.6746
6,0,230,594982.7826,2396385.1736
6,0,231,593253.2705,2397591.3546
6,0,232,589454.97,2396448.727
6,0,233,586008.305,2398336.2517
6,0,234,583882.6614,2401995.5782
6,0,235,581702.3726,2403500.9079
6,0,236,574660.2601,2406605.8192
6,0,237,574072.6637,2404747.233
6,0,238,581519.8331,2401205.3154
6,0,239,583573.9694,2399446.6939
6,0,240,582891.8677,2394711.0479
6,0,241,580610.4791,2392312.8199
6,0,242,580965.4258,2390798.7957
6,0,243,575287.2522,2390149.4879
6,0,244,571115.4534,2387774.0684
6,0,245,569469.3869,2385437.7922
6,0,246,569121.6124,2381009.5725
6,0,247,566283.3524,2380198.1975
6,0,248,563970.8955,2382208.0229
6,0,249,560708.4823,2380971.3641
6,0,250,556440.8459,2378431.5188
6,0,251,554599.1786,2380349.8896
6,0,252,549462.3904,2378034.8012
6,0,253,547161.9735,2380105.2346
6,0,254,547810.8243,2381502.3027
6,0,255,546854.5985,2384280.5336
6,0,256,544444.7745,2385807.2361
6,0,257,545946.783,2383693.8478
6,0,258,546298.9066,2380956.1071
6,0,259,539204.3362,2378225.8595
6,0,260,535365.9239,2374466.0348
6,0,261,526665.8614,2368136.3356
6,0,262,526533.4409,2370720.0413
6,0,263,529886.7722,2374726.8414
6,0,264,529607.25,2376493.0099
6,0,265,527820.8872,2377465.9346
6,0,266,523816.861,2375236.5415
6,0,267,521747.9947,2375538.1138
6,0,268,516507.3484,2373846.835
6,0,269,510801.0179,2372939.3336
6,0,270,505123.6495,2378398.5624
6,0,271,504377.2352,2376349.4478
6,0,272,506789.5077,2375703.5806
6,0,273,508795.6234,2374009.384
6,0,274,502815.4318,2371785.146
6,0,275,499053.7302,2369045.4163
6,0,276,496569.8084,2368789.309
6,0,277,493243.5272,2368459.0909
6,0,278,490857.6837,2367119.3901
6,0,279,488758.2301,2364991.4792
6,0,280,486313.8791,2364528.7233
6,0,281,483864.7308,2365435.4274
6,0,282,482443.6795,2364735.0864
6,0,283,480811.807,2366279.2313
6,0,284,477348.5592,2366236.0905
6,0,285,473456.3814,2364099.7814
6,0,286,471155.9188,2362036.2099
6,0,287,466732.2919,2356150.9849
6,0,288,463792.9937,2349595.6578
6,0,289,462602.2682,2350326.3706
6,0,290,462338.3312,2348071.9071
6,0,291,459888.9665,2346492.9078
6,0,292,454160.0521,2346824.1046
6,0,293,451856.7695,2345461.9244
6,0,294,446824.9894,2346808.9141
6,0,295,443549.5569,2345066.554
6,0,296,440577.3441,2344472.4899
6,0,297,441985.3784,2348193.9761
6,0,298,440450.6328,2351630.1585
