HQ,class_code,LULC,Hj
0.6291384696960449,2,Forest,0.8
0.6671377420425415,2,Forest,0.8
0.7013815641403198,2,Forest,0.8
0.6001333594322205,2,Forest,0.8
0.5562302470207214,2,Forest,0.8
0.6335586905479431,2,Forest,0.8
0.6560618877410889,2,Forest,0.8
0.23371762037277222,1,Cropland,0.3
0.4937891960144043,2,Forest,0.8
0.562646210193634,2,Forest,0.8
0.23099982738494873,1,Cropland,0.3
0.22273871302604675,1,Cropland,0.3
0.22821596264839172,1,Cropland,0.3
0.5420821905136108,2,Forest,0.8
0.6409494876861572,2,Forest,0.8
0.2724175453186035,1,Cropland,0.3
0.26982924342155457,1,Cropland,0.3
0.23433126509189606,1,Cropland,0.3
0.2169010490179062,1,Cropland,0.3
0.22449743747711182,1,Cropland,0.3
0.2440367341041565,1,Cropland,0.3
0.21908888220787048,1,Cropland,0.3
0.2210361212491989,1,Cropland,0.3
0.5423537492752075,2,Forest,0.8
0.2409546673297882,1,Cropland,0.3
0.5517343878746033,2,Forest,0.8
0.5187615752220154,2,Forest,0.8
0.5534685254096985,2,Forest,0.8
0.6668527126312256,2,Forest,0.8
0.7279793620109558,2,Forest,0.8
0.6989967226982117,2,Forest,0.8
0.5745123028755188,2,Forest,0.8
0.4848403036594391,2,Forest,0.8
0.2636508643627167,1,Cropland,0.3
0.4908399283885956,2,Forest,0.8
0.24488043785095215,1,Cropland,0.3
0.5990954637527466,2,Forest,0.8
0.22449743747711182,1,Cropland,0.3
0.22798894345760345,1,Cropland,0.3
0.5031041502952576,2,Forest,0.8
0.23530687391757965,1,Cropland,0.3
0.6560295820236206,2,Forest,0.8
0.730909526348114,2,Forest,0.8
0.7431631684303284,2,Forest,0.8
0.7061679363250732,2,Forest,0.8
0.6449781656265259,2,Forest,0.8
0.6180442571640015,2,Forest,0.8
0.2530360221862793,1,Cropland,0.3
0.21985474228858948,1,Cropland,0.3
