x_utm,y_utm,cls
574016.0,2493266.0,1
575006.0,2493266.0,1
575996.0,2493266.0,1
576986.0,2493266.0,1
577976.0,2493266.0,0
578966.0,2493266.0,1
579956.0,2493266.0,1
580946.0,2493266.0,1
581936.0,2493266.0,1
582926.0,2493266.0,1
583916.0,2493266.0,1
584906.0,2493266.0,1
585896.0,2493266.0,0
586886.0,2493266.0,0
587876.0,2493266.0,0
588866.0,2493266.0,2
589856.0,2493266.0,2
590846.0,2493266.0,2
591836.0,2493266.0,2
594806.0,2493266.0,2
595796.0,2493266.0,2
598766.0,2493266.0,0
475016.0,2492276.0,0
476006.0,2492276.0,0
476996.0,2492276.0,0
477986.0,2492276.0,0
478976.0,2492276.0,0
479966.0,2492276.0,0
481946.0,2492276.0,0
482936.0,2492276.0,0
483926.0,2492276.0,1
484916.0,2492276.0,1
485906.0,2492276.0,1
486896.0,2492276.0,0
487886.0,2492276.0,0
488876.0,2492276.0,0
489866.0,2492276.0,0
490856.0,2492276.0,0
491846.0,2492276.0,0
492836.0,2492276.0,0
493826.0,2492276.0,0
494816.0,2492276.0,0
496796.0,2492276.0,0
497786.0,2492276.0,1
498776.0,2492276.0,1
499766.0,2492276.0,1
500756.0,2492276.0,1
501746.0,2492276.0,1
502736.0,2492276.0,1
503726.0,2492276.0,1
504716.0,2492276.0,0
505706.0,2492276.0,0
506696.0,2492276.0,0
507686.0,2492276.0,1
508676.0,2492276.0,1
509666.0,2492276.0,1
510656.0,2492276.0,1
511646.0,2492276.0,1
512636.0,2492276.0,1
513626.0,2492276.0,1
514616.0,2492276.0,1
515606.0,2492276.0,1
516596.0,2492276.0,1
517586.0,2492276.0,1
518576.0,2492276.0,4
519566.0,2492276.0,4
520556.0,2492276.0,1
521546.0,2492276.0,1
522536.0,2492276.0,1
523526.0,2492276.0,1
524516.0,2492276.0,1
525506.0,2492276.0,1
526496.0,2492276.0,1
527486.0,2492276.0,1
528476.0,2492276.0,0
558176.0,2492276.0,0
559166.0,2492276.0,0
560156.0,2492276.0,0
561146.0,2492276.0,0
562136.0,2492276.0,0
574016.0,2492276.0,1
575006.0,2492276.0,1
575996.0,2492276.0,1
576986.0,2492276.0,1
577976.0,2492276.0,1
578966.0,2492276.0,1
579956.0,2492276.0,1
580946.0,2492276.0,1
581936.0,2492276.0,1
582926.0,2492276.0,1
583916.0,2492276.0,1
584906.0,2492276.0,1
585896.0,2492276.0,0
586886.0,2492276.0,0
587876.0,2492276.0,0
596786.0,2492276.0,2
598766.0,2492276.0,2
599756.0,2492276.0,3
475016.0,2491286.0,0
476006.0,2491286.0,0
476996.0,2491286.0,0
477986.0,2491286.0,0
478976.0,2491286.0,0
479966.0,2491286.0,0
480956.0,2491286.0,2
481946.0,2491286.0,0
482936.0,2491286.0,0
483926.0,2491286.0,1
484916.0,2491286.0,1
485906.0,2491286.0,0
486896.0,2491286.0,0
488876.0,2491286.0,0
490856.0,2491286.0,0
491846.0,2491286.0,0
492836.0,2491286.0,0
493826.0,2491286.0,0
494816.0,2491286.0,0
495806.0,2491286.0,0
496796.0,2491286.0,1
497786.0,2491286.0,1
498776.0,2491286.0,1
499766.0,2491286.0,1
500756.0,2491286.0,1
501746.0,2491286.0,1
502736.0,2491286.0,1
503726.0,2491286.0,1
504716.0,2491286.0,0
505706.0,2491286.0,0
506696.0,2491286.0,0
508676.0,2491286.0,0
509666.0,2491286.0,1
510656.0,2491286.0,1
511646.0,2491286.0,1
512636.0,2491286.0,1
513626.0,2491286.0,1
514616.0,2491286.0,1
515606.0,2491286.0,1
516596.0,2491286.0,1
517586.0,2491286.0,1
520556.0,2491286.0,4
521546.0,2491286.0,1
522536.0,2491286.0,1
523526.0,2491286.0,1
524516.0,2491286.0,1
525506.0,2491286.0,1
526496.0,2491286.0,1
527486.0,2491286.0,1
528476.0,2491286.0,1
557186.0,2491286.0,1
558176.0,2491286.0,0
559166.0,2491286.0,0
560156.0,2491286.0,0
561146.0,2491286.0,0
562136.0,2491286.0,1
574016.0,2491286.0,0
575996.0,2491286.0,1
576986.0,2491286.0,1
577976.0,2491286.0,1
578966.0,2491286.0,1
579956.0,2491286.0,1
580946.0,2491286.0,1
581936.0,2491286.0,1
582926.0,2491286.0,1
583916.0,2491286.0,1
584906.0,2491286.0,1
585896.0,2491286.0,1
586886.0,2491286.0,0
587876.0,2491286.0,0
588866.0,2491286.0,0
589856.0,2491286.0,0
591836.0,2491286.0,2
592826.0,2491286.0,2
597776.0,2491286.0,0
599756.0,2491286.0,0
474026.0,2490296.0,0
476006.0,2490296.0,0
477986.0,2490296.0,0
478976.0,2490296.0,0
479966.0,2490296.0,2
480956.0,2490296.0,2
481946.0,2490296.0,0
482936.0,2490296.0,0
483926.0,2490296.0,0
484916.0,2490296.0,0
485906.0,2490296.0,0
486896.0,2490296.0,0
487886.0,2490296.0,0
488876.0,2490296.0,0
489866.0,2490296.0,0
490856.0,2490296.0,0
491846.0,2490296.0,0
492836.0,2490296.0,0
493826.0,2490296.0,0
494816.0,2490296.0,0
495806.0,2490296.0,1
496796.0,2490296.0,1
497786.0,2490296.0,1
498776.0,2490296.0,1
499766.0,2490296.0,1
500756.0,2490296.0,1
501746.0,2490296.0,1
502736.0,2490296.0,1
503726.0,2490296.0,1
504716.0,2490296.0,0
505706.0,2490296.0,0
506696.0,2490296.0,0
507686.0,2490296.0,0
508676.0,2490296.0,0
510656.0,2490296.0,0
511646.0,2490296.0,1
512636.0,2490296.0,1
513626.0,2490296.0,1
514616.0,2490296.0,1
515606.0,2490296.0,1
516596.0,2490296.0,1
517586.0,2490296.0,1
518576.0,2490296.0,0
519566.0,2490296.0,0
520556.0,2490296.0,0
521546.0,2490296.0,1
522536.0,2490296.0,1
523526.0,2490296.0,1
524516.0,2490296.0,1
525506.0,2490296.0,1
526496.0,2490296.0,1
527486.0,2490296.0,1
533426.0,2490296.0,0
534416.0,2490296.0,1
556196.0,2490296.0,1
557186.0,2490296.0,1
558176.0,2490296.0,1
559166.0,2490296.0,0
561146.0,2490296.0,0
562136.0,2490296.0,1
563126.0,2490296.0,1
574016.0,2490296.0,0
575006.0,2490296.0,0
575996.0,2490296.0,1
576986.0,2490296.0,1
577976.0,2490296.0,1
578966.0,2490296.0,1
579956.0,2490296.0,1
580946.0,2490296.0,1
581936.0,2490296.0,1
582926.0,2490296.0,1
583916.0,2490296.0,1
584906.0,2490296.0,1
586886.0,2490296.0,1
587876.0,2490296.0,0
588866.0,2490296.0,0
589856.0,2490296.0,0
592826.0,2490296.0,2
596786.0,2490296.0,2
598766.0,2490296.0,2
599756.0,2490296.0,0
474026.0,2489306.0,0
475016.0,2489306.0,0
476006.0,2489306.0,0
476996.0,2489306.0,0
477986.0,2489306.0,0
478976.0,2489306.0,0
479966.0,2489306.0,0
480956.0,2489306.0,2
482936.0,2489306.0,0
483926.0,2489306.0,0
484916.0,2489306.0,0
485906.0,2489306.0,0
486896.0,2489306.0,0
488876.0,2489306.0,0
489866.0,2489306.0,0
490856.0,2489306.0,0
491846.0,2489306.0,0
492836.0,2489306.0,0
493826.0,2489306.0,0
494816.0,2489306.0,0
495806.0,2489306.0,1
496796.0,2489306.0,1
497786.0,2489306.0,1
498776.0,2489306.0,1
499766.0,2489306.0,1
500756.0,2489306.0,1
501746.0,2489306.0,1
502736.0,2489306.0,1
503726.0,2489306.0,1
504716.0,2489306.0,0
505706.0,2489306.0,0
506696.0,2489306.0,0
507686.0,2489306.0,0
511646.0,2489306.0,0
512636.0,2489306.0,1
513626.0,2489306.0,1
514616.0,2489306.0,0
515606.0,2489306.0,1
516596.0,2489306.0,1
517586.0,2489306.0,0
518576.0,2489306.0,0
519566.0,2489306.0,0
520556.0,2489306.0,1
521546.0,2489306.0,1
522536.0,2489306.0,1
523526.0,2489306.0,1
524516.0,2489306.0,1
525506.0,2489306.0,1
526496.0,2489306.0,1
527486.0,2489306.0,1
530456.0,2489306.0,1
531446.0,2489306.0,1
532436.0,2489306.0,1
533426.0,2489306.0,4
534416.0,2489306.0,1
535406.0,2489306.0,0
536396.0,2489306.0,0
537386.0,2489306.0,0
538376.0,2489306.0,0
539366.0,2489306.0,0
540356.0,2489306.0,0
541346.0,2489306.0,0
556196.0,2489306.0,1
557186.0,2489306.0,1
558176.0,2489306.0,0
559166.0,2489306.0,0
561146.0,2489306.0,0
562136.0,2489306.0,1
573026.0,2489306.0,0
574016.0,2489306.0,0
575006.0,2489306.0,0
575996.0,2489306.0,1
576986.0,2489306.0,1
577976.0,2489306.0,1
578966.0,2489306.0,1
579956.0,2489306.0,1
580946.0,2489306.0,1
581936.0,2489306.0,1
582926.0,2489306.0,1
583916.0,2489306.0,1
584906.0,2489306.0,1
585896.0,2489306.0,1
586886.0,2489306.0,1
587876.0,2489306.0,1
588866.0,2489306.0,0
589856.0,2489306.0,0
596786.0,2489306.0,2
598766.0,2489306.0,2
599756.0,2489306.0,2
474026.0,2488316.0,0
475016.0,2488316.0,0
476006.0,2488316.0,0
476996.0,2488316.0,0
477986.0,2488316.0,0
478976.0,2488316.0,2
480956.0,2488316.0,0
481946.0,2488316.0,0
482936.0,2488316.0,0
484916.0,2488316.0,0
485906.0,2488316.0,0
486896.0,2488316.0,0
487886.0,2488316.0,0
488876.0,2488316.0,1
489866.0,2488316.0,1
490856.0,2488316.0,1
491846.0,2488316.0,1
492836.0,2488316.0,0
493826.0,2488316.0,0
495806.0,2488316.0,0
496796.0,2488316.0,0
497786.0,2488316.0,0
498776.0,2488316.0,0
499766.0,2488316.0,0
500756.0,2488316.0,1
501746.0,2488316.0,1
502736.0,2488316.0,1
503726.0,2488316.0,1
504716.0,2488316.0,0
505706.0,2488316.0,0
506696.0,2488316.0,0
507686.0,2488316.0,0
508676.0,2488316.0,0
509666.0,2488316.0,0
510656.0,2488316.0,0
511646.0,2488316.0,0
